index	speaker	sentiment	movingave(bin 20)	text	movingave
1850	Laura	Positive	-0.054054	It was always such a relief when the singing started.	0.023462348
1851	Jim	Positive	-0.054054	"JIM: Aw, yes, I've placed you now I I used to call you Blue Rom."	0.023462348
1852	Jim	Neutral	-0.10811	How was it that I got started calling you that?	-0.030593652
1853	Laura	Neutral	-0.10811	LAURA: I was out of school a little while with pleurosis.	-0.030593652
1854	Laura	Neutral	-0.13514	When I came back you asked me what was the matter.	-0.057623652
1855	Laura	Positive	-0.13514	I said I had pleurosis - you thought I said Blue Roses That's what you always called me after that !	-0.057623652
1856	Jim	Neutral	-0.13514	JIM: I hope you didn't mind.	-0.057623652
1857	Laura	Neutral	-0.16216	"LAURA: Oh, no - I liked it."	-0.084643652
1858	Laura	None	-0.18919	"You see, I wasn't acquainted with many - people...."	-0.111673652
1859		None	-0.16667	 	-0.089153652
1860	Jim	Negative	-0.18919	JIM: As I remember you sort of stuck by yourself.	-0.111673652
1861	Laura	Neutral	-0.18919	LAURA: I - I - never have had much luck at - making friends.	-0.111673652
1862	Jim	Negative	-0.18919	JIM: I don't see why you wouldn't.	-0.111673652
1863	Laura	Neutral	-0.16667	LAURA:' .	-0.089153652
1864	Laura	Negative	-0.22222	"Well, I - started out badly."	-0.144703652
1865	Jim	Neutral	-0.2	JIM: You mean being -.	-0.122483652
1866	Laura	Neutral	-0.17143	"LAURA: Yes, it sort of - stood between me -."	-0.093913652
1867	Jim	Negative	-0.17143	JIM: You shouldn't have let it !	-0.093913652
1868	Laura	Neutral	-0.17143	"LAURA: I know, but it did, and -."	-0.093913652
1869	Jim	Neutral	-0.17143	JIM: You were shy with people !	-0.093913652
1870	Laura	Neutral	-0.17143	LAURA: I tried not to be but never could -.	-0.093913652
1871	Jim	Neutral	-0.2	JIM: Overcome it?	-0.122483652
1872	Laura	Negative	-0.22857	"LAURA: No, I - I never could !"	-0.151053652
1873	Jim	Neutral	-0.22857	JIM: I guess being shy is something you have to work out of kind of gradually.	-0.151053652
1874	Laura	Negative	-0.2	LAURA [sorrowfully]: Yes - I guess it -.	-0.122483652
1875	Jim	Neutral	-0.22857	JIM: Takes time !	-0.151053652
1876	Laura	Neutral	-0.28571	LAURA: Yes -.	-0.208193652
1877	Jim	Neutral	-0.28571	JIM - People arc not so dreadful when you know them.	-0.208193652
1878	Jim	Neutral	-0.28571	That's what you have to remember !	-0.208193652
1879	Jim	None	-0.22222	And everybody has	-0.144703652
1880	Jim	Negative	-0.21622	"problems, not just you, but practically everybody has got some problems."	-0.138703652
1881	Jim	None	-0.13514	You think of yourself as having the only	-0.057623652
1882	Jim	Negative	-0.13514	"problems, as being the only one who is disappointed."	-0.057623652
1883	Jim	None	-0.10811	But just look around you and you will see lots of people as	-0.030593652
1884	Jim	Negative	-0.10811	disappointed as you are.	-0.030593652
1885	Jim	None	-0.081081	"For instance, I hoped when I was going to high-school that I would be further along at this"	-0.003564652
1886	Jim	Positive	-0.081081	"time, six years later, than I am now - You remember that wonderful write-up I had in The Torch?"	-0.003564652
1887	Laura	Neutral	-0.081081	LAURA:: Yes !	-0.003564652
1888		Neutral	-0.081081	[She rises and crosses to table.]	-0.003564652
1889	Jim	Negative	-0.081081	JIM: It said I was bound to succeed in anything I went into!	-0.003564652
1890		Neutral	-0.10811	[LAURA returns with the annual.]	-0.030593652
1891	Jim	Neutral	-0.10811	Holy Jeez !	-0.030593652
1892	Jim	Neutral	-0.11111	The Torch !	-0.033593652
1893		Neutral	-0.085714	[He accepts it reverently.	-0.008197652
1894		Positive	-0.11429	They smile across it with mutual wonder.	-0.036773652
1895		Negative	-0.085714	LAURA crouches beside him and they begin to turn through it.	-0.008197652
1896		Negative	-0.085714	LAURA's shyness is dissolving in his warmth.]	-0.008197652
1897	Laura	Neutral	-0.11429	LAURA:: Here you are in The Pirates of Penzance!	-0.036773652
1898	Jim	Neutral	-0.14286	JIM: [wistfully] : I sang the baritone lead in that operetta.	-0.065343652
1899	Laura	Very Positive	-0.14286	LAURA [raptly]: So - beautifully!	-0.065343652
1900	Jim	Neutral	-0.13889	JIM [protesting]: Aw -.	-0.061373652
1901	Laura	Very Positive	-0.11111	"LAU R A: Yes, yes - beautifully - beautifully !"	-0.033593652
1902	Jim	Neutral	-0.081081	JIM: You heard me?	-0.003564652
1903	Laura	Neutral	-0.054054	LAURA: All three times !	0.023462348
1904	Jim	Neutral	-0.078947	JIM: No !	-0.001430652
1905	Laura	Neutral	-0.052632	LAURA: Yes !	0.024884348
1906	Jim	Neutral	-0.025641	JIM: All three performances?	0.051875348
1907	Laura	Neutral	-0.051282	LAURA [looking down]: Yes.	0.026234348
1908	Jim	Negative	-0.051282	JIM: Why?	0.026234348
1909	Laura	Neutral	-0.025641	LAURA: I - wanted to ask you to - autograph my programme.	0.051875348
1910	Jim	Negative	0.025641	JIM: Why didn't you ask me to?	0.103157348
1911	Laura	Neutral	0.025641	LAURA: You were always surrounded by your own friends so much that I never had a chance to.	0.103157348
1912	Jim	None	0	JIM: You should have just	0.077516348
1913		None	0.025641	 	0.103157348
1914	Laura	Negative	0	"LAURA: Well, I - thought you might think I was."	0.077516348
1915	Jim	Neutral	-0.051282	JIM: Thought I might think you was - what?	0.026234348
1916	Laura	Neutral	-0.025641	LAURA: Oh.	0.051875348
1917	Jim	Negative	0	JIM [with reflective relish]: I was beleaguered by females In those days.	0.077516348
1918	Laura	Negative	0	LAURA: You were terribly popular !	0.077516348
1919	Jim	Neutral	-0.025641	JIM: Yeah.	0.051875348
1920	Laura	Neutral	-0.076923	LAURA: You had such a - friendly way.	0.000593348
1921	Jim	Neutral	-0.076923	JIM: I was spoiled in high school.	0.000593348
1922	Laura	Positive	-0.15385	LAURA: Everybody - liked you !	-0.076333652
1923	Jim	Neutral	-0.15385	JIM: Including you?	-0.076333652
1924	Laura	Negative	-0.17949	"LAURA: I - yes, I - I did, too -."	-0.101973652
1925		Neutral	-0.17949	[She gently closes the book in her lap.]	-0.101973652
1926	Jim	Positive	-0.17949	"JIM: Well, weH, well !"	-0.101973652
1927	Jim	Neutral	-0.17949		-0.101973652
1928		Neutral	-0.17949	[She hands it to him.	-0.101973652
1929		Positive	-0.15385	He signs it with a flourish.]	-0.076333652
1930		Positive	-0.15385	There youare - better late than never !	-0.076333652
1931	Laura	Neutral	-0.12821	"LAURA: Oh, I - what a - surprise!"	-0.050693652
1932	Jim	Negative	-0.12821	JIM: My signature isn't worth very much tight now.	-0.050693652
1933	Jim	Positive	-0.125	But some day - maybe - it will increase in value !	-0.047483652
1934	Jim	Negative	-0.14634	Being disappointed is one thing and being discouraged is something else.	-0.068823652
1935	Jim	Negative	-0.12195	I am disappointed but I am not discouraged.	-0.044433652
1936	Jim	Neutral	-0.12195	I'm twenty-three years old.	-0.044433652
1937	Jim	Neutral	-0.12195	How old are you?	-0.044433652
1938	Laura	Neutral	-0.097561	LAURA:: I'll be twenty-four in June.	-0.020044652
1939	Jim	Negative	-0.12195	JIM: That's not old age!	-0.044433652
1940	Laura	Neutral	-0.12195	"LAURA: No, but."	-0.044433652
1941	Jim	Neutral	-0.12195	JIM: You finished high school?	-0.044433652
1942	Laura	Negative	-0.12195	LAURA [with difficulty]: I didn't go back.	-0.044433652
1943	Jim	Neutral	-0.14634	JIM: You mean you dropped out?	-0.068823652
1944	Laura	Negative	-0.14634	LAURA: I made bad grades in my final examinations.	-0.068823652
1945		Neutral	-0.12195	[She rises and replaces the book and the programme.	-0.044433652
1946		Neutral	-0.12195	Her voice strained.]	-0.044433652
1947		Neutral	-0.14634	How is - Emily Meisenbach getting along?	-0.068823652
1948	Jim	Neutral	-0.14634	"JIM: Oh, that kraut-head!"	-0.068823652
1949	Laura	Neutral	-0.17073	LAURA:: Why do you call her that ?	-0.093213652
1950	Jim	Neutral	-0.19512	J I M: That's what she was.	-0.117603652
1951	Laura	Neutral	-0.21951	LAURA: You're not still - going with her?	-0.141993652
1952	Jim	Neutral	-0.2439	J I M: I never see her.	-0.166383652
1953	Laura	Neutral	-0.2439	LAURA: It said in the Personal Section that you were engaged!	-0.166383652
1954	Jim	Negative	-0.26829	"J I M: I know, but I wasn't impressed by that -propaganda !"	-0.190773652
1955	Laura	Neutral	-0.26829	LAURA: It wasn't - the truth?	-0.190773652
1956	Jim	Neutral	-0.26829	J I M: Only in Emily's optimistic opinion !	-0.190773652
1957	Laura	Neutral	-0.26829	LAURA: Oh.	-0.190773652
1958		Neutral	-0.2439	[LEGEND: ' WHAT HAVE YOU DONE SINCE HIGH SCHOOL?' ]	-0.166383652
1959		Very Negative	-0.2439	JIM lights a cigarette and loans indolently back on his elbows smiling at LAURA with a warmth and charm which lights her inwardly with altar candler.	-0.166383652
1960		Neutral	-0.21951	She remains by the table and turns in her hands a piece of glass to cover her tumult.]	-0.141993652
1961	Jim	Neutral	-0.21951	JIM: [after several reflective puffs on a cigarette] : What have you done since high school?	-0.141993652
1962		Neutral	-0.21951	[She seems not to hear him.]	-0.141993652
1963	Jim	Neutral	-0.19512	Huh?	-0.117603652
1964		Neutral	-0.19512	[LAURA looks up.]	-0.117603652
1965	Jim	Neutral	-0.19512	"I said what have you done since high school, Laura?"	-0.117603652
1966	Laura	Neutral	-0.21951	LAURA:: Nothing much.	-0.141993652
1967	Jim	Neutral	-0.17073	JIM: You must have been doing something these six long years.	-0.093213652
1968	Laura	Neutral	-0.175	LAURA:Yes.	-0.097483652
1969	Jim	Negative	-0.2	"JIM: Well, then, such as what?"	-0.122483652
1970	Laura	Neutral	-0.225	LAURA: I took a business course at business college.	-0.147483652
1971	Jim	Neutral	-0.25	JIM: How did that work out?	-0.172483652
1972	Laura	Negative	-0.25	"LAURA: Well, not very - well - I had to drop out, it gave me - indigestion."	-0.172483652
1973	Jim	Negative	-0.275	J I M [laughs gently.]	-0.197483652
1974	Jim	Neutral	-0.275	: What are you doing now?	-0.197483652
1975	Laura	Negative	-0.275	LAURA: I don't do anything - much.	-0.197483652
1976	Laura	Negative	-0.3	"Oh, please don't think I sit around doing nothing!"	-0.222483652
1977	Laura	Neutral	-0.275	My glass collection takes up agood deal of time.	-0.197483652
1978	Laura	Positive	-0.3	Glass is something you have to take good care of.	-0.222483652
1979	Jim	Neutral	-0.3	JIM: What did you say - about glass?	-0.222483652
1980	Laura	Neutral	-0.25	LAURA: Collection I said - I have one -.	-0.172483652
1981		Neutral	-0.275	"[she clears her throat and turns away, acutely shy.]"	-0.197483652
1982	Jim	Neutral	-0.275	JIM: [abruptly]: You know what I judge to be the trouble with you?	-0.197483652
1983	Jim	Neutral	-0.3	Inferiority complex I Know what that is?	-0.222483652
1984	Jim	Neutral	-0.275	That's what they call it when someone low-rates himself !	-0.197483652
1985	Jim	Negative	-0.275	"I understand it because I had it, too."	-0.197483652
1986	Jim	Negative	-0.225	Although my caw was not so aggravated as yours seems to be.	-0.147483652
1987	Jim	Very Positive	-0.225	"I had it until I took up public speaking, developed my voice, and learned that I had an aptitude for science."	-0.147483652
1988	Jim	None	-0.25	Before that time I never thought of myself as being outstanding in any way whatsoever I	-0.172483652
1989	Jim	Negative	-0.25	"Now I've never made a regular study of it, but I have a friend who says I can analyze people better than doctors that make a profession of it."	-0.172483652
1990	Jim	Negative	-0.225	"I don't claim that to be necessarily true, but I can sure guess a person's psychology, Laura I [Takes out his gum] Excuse me, Laura."	-0.147483652
1991	Jim	Negative	-0.2	I always take it out when the flavour is gone.	-0.122483652
1992	Jim	Neutral	-0.175	I'll use this scrap of paper to wrap it in.	-0.097483652
1993	Jim	Negative	-0.175	I know how it is to get it stuck on a shoe.	-0.097483652
1994	Jim	Neutral	-0.15	Yep - that's what I judge to be your principal trouble.	-0.072483652
1995	Jim	Negative	-0.125	A lack of amount of faith in yourself as a person.	-0.047483652
1996	Jim	Negative	-0.1	You don't have the proper amount of faith in yourself.	-0.022483652
1997	Jim	Positive	-0.075	I'm basing that fact on a number of your remarks and also on certain observations I've made.	0.002516348
1998	Jim	Negative	-0.05	For instance that clumping you thought was so awful in high school.	0.027516348
1999	Jim	Neutral	-0.075	You say that you even dreaded to walk into class.	0.002516348
2000	Jim	Neutral	-0.075	You see what you did?	0.002516348
2001	Jim	Negative	-0.075	"You dropped out of school, you gave up an education because of a clump, which as far as I know was practically non-existent!"	0.002516348
2002	Jim	Neutral	-0.05	A little physical defect is what you have.	0.027516348
2003	Jim	Negative	-0.05	Hardly noticeable even!	0.027516348
2004	Jim	Positive	-0.05	Magnified thousands of times by imagination !	0.027516348
2005	Jim	Neutral	-0.025	You know what my strong advice to you is?	0.052516348
2006	Jim	Very Positive	0	Think of yourself as superior in some way!	0.077516348
2007	Laura	Neutral	0.05	LAURA: In what way would I think?	0.127516348
2008	Jim	Negative	0	"JIM: Why, man alive, Laura!"	0.077516348
2009	Jim	Neutral	0	just look about you a little.	0.077516348
2010	Jim	Neutral	0.025641	What do you see?	0.103157348
2011	Jim	Positive	0.052632	A world full of common people!	0.130148348
2012	Jim	Positive	0.081081	All of 'em born and all of 'em going to die !	0.158597348
2013	Jim	Negative	0.054054	Which of them has one-tenth of your good points I Or mine !	0.131570348
2014	Jim	Neutral	0.081081	"Or anyone else's, as far as that goes - Gosh !"	0.158597348
2015	Jim	Positive	0.081081	Everybody excels in some one thing.	0.158597348
2016	Jim	Neutral	0.081081	Some in many !	0.158597348
2017		Neutral	0.081081	[Unconsciously glances at himself in the mirror.]	0.158597348
2018	Jim	Positive	0.027027	All you've got to do is discover in what!	0.104543348
2019	Jim	Neutral	0.081081	"Take me, for instance."	0.158597348
2020		Neutral	0.081081	[He adjusts his tie at the mirror.]	0.158597348
2021	Jim	Neutral	0.081081	My interest happens to lie in electro-dynamics.	0.158597348
2022	Jim	Positive	0.10811	"I'm taking a course in radio engineering at night school, Laura, on top of a fairly responsible job at the warehouse."	0.185626348
2023	Jim	Neutral	0.10811	I'm taking that course and studying public speaking.	0.185626348
2024	Laura	Neutral	0.10811	LAURA: Ohhhh.	0.185626348
2025	Jim	Positive	0.083333	JIM: Because I believe in the future of television !	0.160849348
2026		Neutral	0.085714	[Turning back to her.]	0.163230348
2027	Jim	Positive	0	I wish to be ready to go up right along with it.	0.077516348
2028	Jim	None	0	Therefore	0.077516348
2029		None	0.028571	 	0.106087348
2030	Jim	Neutral	0.029412	I'm planning to get in on the ground floor.	0.106928348
2031	Jim	None	0.029412	In fact I've already made the right connexions and all that remains is for the industry itself to get under way I Full steam	0.106928348
2032		None	0	 	0.077516348
2033		Negative	0	[His eyes are starry.]	0.077516348
2034	Jim	Neutral	0.030303	Knowledge - Zzzzzp !	0.107819348
2035	Jim	Neutral	0.03125	Money - Zzzzzzp I - Power!	0.108766348
2036	Jim	Negative	0	That's the cycle democracy is built on !	0.077516348
2037		Negative	-0.03125	[His attitude is convincingly dynamic.	0.046266348
2038		Negative	-0.0625	"LAURA stares at him, even her shyness eclipsed in her absolute wonder."	0.015016348
2039		Positive	-0.125	He suddenly grins.]	-0.047483652
2040	Jim	Neutral	-0.09375	I guess you think I think a lot of myself !	-0.016233652
2041	Laura	Neutral	-0.09375	"LAURA: No - o-o-o, !"	-0.016233652
2042	Jim	Neutral	-0.0625	JIM: Now how about you?	0.015016348
2043	Jim	Neutral	-0.0625	"Isn't there something you, take more interest in than anything else?"	0.015016348
2044	Laura	Negative	-0.03125	"LAURA: Well, I do - as I said - have my - glass collection."	0.046266348
2045		None	-0.0625	[A peal of girlish laughter from du kitchen]	0.015016348
2046		None	-0.09375	 	-0.016233652
2047	Jim	Negative	-0.09375	JIM: I'm not right sure I know what you're talking about What kind of glass is it?	-0.016233652
2048	Laura	Neutral	-0.125	"LAURA: Little articles of it, they're ornaments mostly !"	-0.047483652
2049	Laura	Neutral	-0.12121	"Most of them are little animals made out of glass, the tiniest little animals in the world."	-0.043693652
2050	Laura	None	-0.11765	Mother calls them A	-0.040133652
2051	Laura	Neutral	-0.11765	glass menagerie !	-0.040133652
2052	Laura	None	-0.14286	"Here's an example of one, if you'd like to see it I"	-0.065343652
2053	Laura	Positive	-0.13889	This one is one of the oldest.	-0.061373652
2054	Laura	Neutral	-0.13889	It's nearly thirteen.	-0.061373652
2055		None	-0.13889	[MUSIC: ' THE GLASS MENAGERIE''	-0.061373652
2056		Neutral	-0.13889	He stretches out his hand.]	-0.061373652
2057	Laura	Negative	-0.11111	"Oh, be careful - if you breathe, it breaks !"	-0.033593652
2058	Jim	Negative	-0.055556	JIM: I'd better not take it.	0.021960348
2059	Jim	Negative	-0.027778	I'm pretty clumsy with things.	0.049738348
2060	Laura	Positive	-0.055556	"LAURA: Go on, I trust you with him !"	0.021960348
2061		Neutral	-0.027778	[Places it in his palm.]	0.049738348
2062	Laura	Positive	-0.055556	There now - you're holding him gently !	0.021960348
2063	Laura	Positive	-0.027778	"Hold him over the light, he loves the light I You see how the light shines through him?"	0.049738348
2064	Jim	Positive	-0.027778	JIM: It sure does shine!	0.049738348
2065	Laura	Negative	0	"LAURA: I shouldn't be partial, but he is my favourite one."	0.077516348
2066	Jim	Neutral	0	JIM: What kind of a thing is this one supposed to be?	0.077516348
2067	Laura	Neutral	0	LAURA: Haven't you noticed the single horn on his forehead head?	0.077516348
2068	Jim	Neutral	0.026316	"JIM: A unicorn, huh?"	0.103832348
2069	Laura	Neutral	0.026316	LAURA: Mmmm-hmmm!	0.103832348
2070	Jim	Neutral	0.026316	"JIM: Unicorns, aren't they extinct in the modern world?"	0.103832348
2071	Laura	Neutral	0.025641	LAURA: I know !	0.103157348
2072	Jim	Negative	0.025641	"JIM: Poor little fellow, he must feel sort of lonesome."	0.103157348
2073	Laura	Neutral	0	"LAURA [smiling]: Well, if he does he doesn't complain about it."	0.077516348
2074	Laura	Negative	-0.05	He stays on a shelf with some horses that don't have horns and all of them seem to get along nicely together.	0.027516348
2075	Jim	Neutral	-0.05	JIM: How do you know?	0.027516348
2076	Laura	Neutral	-0.04878	LAURA [Iightly]: I haven't heard any arguments among them!	0.028736348
2077	Jim	Neutral	-0.04878	"JIM: [grinning]: No arguments, huh?"	0.028736348
2078	Jim	Positive	-0.02439	"Well, that's a pretty good sign !"	0.053126348
2079	Jim	Neutral	0	Where shall I set him?	0.077516348
2080	Laura	Neutral	0.04878	LAURA: Put him on the table.	0.126296348
2081	Laura	Positive	0.02439	They all like a change of scenery once in a while !	0.101906348
2082	Jim	Negative	0.04878	"JIM: [stretching]: Well, well, well, well Look how big my shadow is when I stretch !"	0.126296348
2083	Laura	Positive	0	"LAURA: Oh, oh, yes - it stretches across the ceiling !"	0.077516348
2084	Jim	Neutral	-0.02439	JIM: [crossing to door]: I think it's stopped raining.	0.053126348
2085		Neutral	-0.073171	[Opens fire-escape door.]	0.004345348
2086	Jim	Neutral	-0.04878	Where does the music come from?	0.028736348
2087	Laura	Neutral	-0.04878	LAURA: From the Paradise Dance Hall across the alley.	0.028736348
2088	Jim	Neutral	-0.04878	"JIM: How about cutting the rug a little, Miss Wingfield?"	0.028736348
2089	Laura	Neutral	-0.04878	LAURA: Oh.	0.028736348
2090	Jim	Neutral	-0.04878	JIM: Or is your programme filled up?	0.028736348
2091	Jim	Neutral	-0.073171	Let me have a look at it.	0.004345348
2092		Neutral	-0.097561	[Grasps imaginary card.]	-0.020044652
2093	Jim	Negative	-0.073171	"Why, every dance is taken!"	0.004345348
2094	Jim	Negative	-0.073171	I'll just have to scratch some out.	0.004345348
2095		Neutral	-0.04878	[WALTZ MUSIC 'LA GOLONDRINA'.]	0.028736348
2096		Neutral	-0.073171	.	0.004345348
2097	Jim	Neutral	-0.075	"Ahhh, a waltz !"	0.002516348
2098		Neutral	-0.076923	[He executes some sweeping turns by himself then holds his arms toward LAURA.]	0.000593348
2099	Laura	Neutral	-0.10256	LAURA [breathlessly]: I - can't dance !	-0.025043652
2100	Jim	Positive	-0.10256	"JIM: There you go, that inferiority stuff !"	-0.025043652
2101	Jim	Neutral	-0.12821	"Come on, try !"	-0.050693652
2102	Laura	Positive	-0.15385	"LAURA: Oh, but I'd step on you !"	-0.076333652
2103	Jim	Negative	-0.12821	JIM: I'm not made out of glass.	-0.050693652
2104	Laura	Neutral	-0.12821	LAURA: How - how - how do we start?	-0.050693652
2105	Jim	Negative	-0.12821	J IM: just leave it to me.	-0.050693652
2106	Jim	Neutral	-0.10256	You hold your arms out a little.	-0.025043652
2107	Laura	Neutral	-0.10256	LAURA: Like this?	-0.025043652
2108	Jim	Neutral	-0.076923	JIM: A little bit higher.	0.000593348
2109	Jim	Neutral	-0.076923	Right.	0.000593348
2110	Jim	Neutral	-0.051282	"Now don't tighten up, that's the main thing about it - relax."	0.026234348
2111	Laura	Negative	-0.051282	LAURA [laughs breathlessly]: It's hard not to.	0.026234348
2112	Laura	Negative	-0.076923	I'm afraid you can't budge me.	0.000593348
2113	Jim	Neutral	-0.076923	JIM: What do you bet I can't?	0.000593348
2114		Neutral	-0.051282	[He swings her into motion.]	0.026234348
2115	Laura	Neutral	-0.051282	"LAURA: Goodness, yes, you can!"	0.026234348
2116	Jim	Negative	-0.051282	"JIM: Let yourself go, now, Laura, just let yourself go."	0.026234348
2117	Laura	None	-0.051282	LAURA: I'm	0.026234348
2118		None	-0.051282	 	0.026234348
2119	Jim	Neutral	-0.051282	JIM: Come on!	0.026234348
2120	Laura	Neutral	-0.051282	LAURA: Trying !	0.026234348
2121	Jim	Negative	-0.076923	JIM: Not so stiff - Easy does it I!	0.000593348
2122	Laura	Neutral	-0.10256	LAURA: I know but I'm -.	-0.025043652
2123	Jim	Neutral	-0.12821	JIM: Loosen the backbone!	-0.050693652
2124	Jim	Positive	-0.10256	"There now, that's a lot better."	-0.025043652
2125	Laura	Neutral	-0.10256	LAURA: Am I?	-0.025043652
2126	Jim	Positive	-0.076923	"JIM: Lots, lots better !"	0.000593348
2127		Neutral	-0.076923	[He moves her about the room in a clumsy waltz. ]	0.000593348
2128	Laura	Positive	-0.076923	"LAURA: Oh, my !"	0.000593348
2129	Jim	Neutral	-0.076923	JIM: Ha-ha !	0.000593348
2130	Laura	Positive	-0.076923	"LAURA: Oh, my goodness !"	0.000593348
2131	Jim	Neutral	-0.076923	JIM: Ha-ha-ha !	0.000593348
2132		Negative	-0.051282	[They suddenly bump into the table.	0.026234348
2133		Neutral	-0.051282	JIM stops] What did we hit on?	0.026234348
2134	Laura	Neutral	-0.025641	LAURA: Table.	0.051875348
2135	Jim	Negative	-0.051282	JIM: Did something fall off it?	0.026234348
2136	Jim	Neutral	-0.025641	I think-.	0.051875348
2137	Laura	Neutral	0	LAURA: Yes.	0.077516348
2138	Jim	Neutral	-0.025	JIM: I hope that it wasn't the little glass horse with the horn !	0.052516348
2139	Laura	Neutral	-0.025	LAURA: Yes.	0.052516348
2140	Jim	Neutral	-0.025641	JIM: Aw aw aw- Is it broken?	0.051875348
2141	Laura	Neutral	0	LAURA: Now it is just like all the other horses.	0.077516348
2142	Jim	Negative	0.051282	JIM: It's lost its -.	0.128798348
2143	Laura	Neutral	0.051282	LAURA: Horn!	0.128798348
2144	Laura	Neutral	0.052632	It doesn't matter.	0.130148348
2145	Laura	Neutral	0.027027	Maybe it's a blessing in disguise.	0.104543348
2146	Jim	Neutral	0	JIM: You'll never forgive me.	0.077516348
2147	Jim	Neutral	-0.027027	I bet that that was your Favourite piece of glass.	0.050489348
2148	Laura	Neutral	-0.027778	LAURA: I don't have favourites much.	0.049738348
2149	Laura	Neutral	-0.057143	"It's no tragedy, Freckles."	0.020373348
2150	Laura	Neutral	-0.028571	Glass breaks so easily.	0.048945348
2151	Laura	Neutral	-0.085714	No matter how careful you are.	-0.008197652
2152	Laura	Neutral	-0.057143	The traffic jars the shelves and things fall off them.	0.020373348
2153	Jim	Negative	-0.028571	JIM: Still I'm awfully sorry that I was the cause.	0.048945348
2154	Laura	Positive	-0.028571	LA U R A [smiling] I'll just imagine he had an operation.	0.048945348
2155	Laura	Negative	-0.057143	The horn was removed to make him feel less - freakish !	0.020373348
2156		Positive	-0.028571	[They both laugh.]	0.048945348
2157	Laura	Neutral	-0.028571	"Now he will feel more at home with the other horses, the ones that don't have horns."	0.048945348
2158	Jim	Negative	0	"JIM: Ha-ha, that's very funny !"	0.077516348
2159		None	0	[Suddenly serious]	0.077516348
2160		None	-0.028571	 	0.048945348
2161	Jim	Positive	-0.028571	I'm glad to see that you have a sense of humour.	0.048945348
2162	Jim	Positive	0	You know - you're - well - very different !	0.077516348
2163	Jim	Neutral	0.028571	Surprisingly different from anyone else I know !	0.106087348
2164		None	0.057143	[His wire become soft and hesitant with a genuine feeling]	0.134659348
2165		None	0.028571	 	0.106087348
2166	Jim	Negative	0	Do you mind me telling you that?	0.077516348
2167		Neutral	0	[LAURA is abashed beyond speech.]	0.077516348
2168	Jim	None	0	I mean it in a nice way ...	0.077516348
2169		None	0	 	0.077516348
2170		Positive	0	"[LAURA nods shyly, looking away.]"	0.077516348
2171	Jim	Negative	0	You make me feel sort of - I don't know how to put it !	0.077516348
2172	Jim	Positive	0	"I'm usually pretty good at expressing things, but This is something that I don't know how to say !"	0.077516348
2173		Neutral	0	[LAURA touches her throat and clears it - turns the unicorn in her hands.	0.077516348
2174		Neutral	0.029412	Even softer.]	0.106928348
2175	Jim	Negative	0	Has anyone ever told you that you were pretty?	0.077516348
2176		Neutral	0.060606	[PAUSE: MUSIC.	0.138122348
2177		Neutral	0.030303	LAURA looks up slowly with wonder and shakes her head.]	0.107819348
2178	Jim	Positive	0.060606	"Well, you are!"	0.138122348
2179	Jim	Neutral	0.090909	In a very different way from anyone else.	0.168425348
2180	Jim	Negative	0.11765	"And all the nicer because of the difference, too."	0.195166348
2181		Neutral	0.14286	[His voice becomes low and husky.	0.220376348
2182		Positive	0.11429	"LA U R A turns away, nearly faint with the novelty of her emotions.]"	0.191806348
2183	Jim	Neutral	0.057143	I wish that you were my sister.	0.134659348
2184	Jim	Positive	0.085714	I'd teach you to have some confidence in yourself.	0.163230348
2185	Jim	Negative	0.055556	"The different people are not like other people, but being different is nothing to be ashamed of."	0.133072348
2186	Jim	Negative	0.027027	Because other people are not such wonderful people.	0.104543348
2187	Jim	Neutral	0.081081	They're one hundred times one thousand.	0.158597348
2188	Jim	Neutral	0.081081	You're one times one!	0.158597348
2189	Jim	Neutral	0.078947	They walk all over the earth.	0.156463348
2190	Jim	Neutral	0.076923	You just stay here.	0.154439348
2191	Jim	Neutral	0.052632	"They're common as - weeds, -but - you - well, you're - Blue Roses!"	0.130148348
2192		Neutral	0.052632	[IMAGE ON SCREEN: BLUE ROSES.	0.130148348
2193		Neutral	0	MUSIC CHANGES.]	0.077516348
2194	Laura	None	0	LAURA: But blue is wrong for - roses...	0.077516348
2195		None	0	 	0.077516348
2196	Jim	Positive	0.026316	JIM: It's right for you !	0.103832348
2197	Jim	Neutral	0	- You're - pretty !	0.077516348
2198	Laura	Positive	0.026316	LAURA: In what respect am I pretty?	0.103832348
2199	Jim	Neutral	0	JIM: In all respects - believe me !	0.077516348
2200	Jim	Positive	0	Your eyes - your hair are pretty!	0.077516348
2201	Jim	Positive	0.052632	Your hands are pretty !	0.130148348
2202		Neutral	0.052632	[He catches hold of her hand.]	0.130148348
2203	Jim	Negative	0	You think I'm making this up because I'm invited to dinner and have to be nice.	0.077516348
2204	Jim	Positive	-0.026316	"Oh, I could do that !"	0.051200348
2205	Jim	Negative	-0.052632	"I could put on an act for you, Laura, and say lots of things without being very sincere."	0.024884348
2206	Jim	Negative	-0.026316	But this time I am.	0.051200348
2207	Jim	Positive	0	I'm talking to you sincerely.	0.077516348
2208	Jim	Neutral	0	I happened to notice you had this inferiority complex that keeps you from feeling comfortable with people.	0.077516348
2209	Jim	Neutral	0	"Somebody needs to build your confidence up and make you proud instead of shy and turning away and - blushing - Somebody -ought to - Ought to - kiss you, Laura !"	0.077516348
